iter	Passed	Remaining
2969	665135	118694
2970	665340	118466
2971	665551	118240
2972	665778	118017
2973	666003	117793
2974	666235	117570
2975	666433	117342
2976	666627	117113
2977	666824	116884
2978	667028	116657
2979	667244	116431
2980	667461	116206
2981	667666	115979
2982	667881	115754
2983	668114	115531
2984	668329	115306
2985	668560	115083
2986	668781	114859
2987	668994	114633
2988	669222	114410
2989	669447	114186
2990	669662	113961
2991	669873	113735
2992	670078	113508
2993	670292	113282
2994	670503	113056
2995	670710	112829
2996	670917	112603
2997	671132	112377
2998	671361	112154
2999	671592	111932
3000	671802	111705
3001	672030	111482
3002	672261	111260
3003	672497	111038
3004	672720	110814
3005	672987	110597
3006	673244	110378
3007	673468	110155
3008	673699	109932
3009	673916	109707
3010	674120	109480
3011	674337	109255
3012	674569	109032
3013	674774	108805
3014	674985	108579
3015	675208	108355
3016	675435	108132
3017	675642	107905
3018	675846	107678
3019	676052	107451
3020	676277	107228
3021	676506	107005
3022	676749	106784
3023	676968	106559
3024	677178	106333
3025	677388	106107
3026	677607	105883
3027	677823	105658
3028	678052	105435
3029	678270	105210
3030	678482	104984
3031	678696	104759
3032	678903	104532
3033	679129	104309
3034	679336	104082
3035	679556	103858
3036	679769	103632
3037	679991	103408
3038	680186	103180
3039	680403	102955
3040	680626	102731
3041	680829	102504
3042	681036	102278
3043	681248	102052
